title,method,complexity,scenario,advantages,limitations,data_driven,category,category_zh,category_bilingual,source_category
BERAG: Bayesian Ensemble Retrieval-Augmented Generation for Knowledge-based Visual Question Answering,"Bayesian Ensemble Retrieval-Augmented Generation (BERAG) and Bayesian Ensemble Fine-Tuning (BEFT), which treats document posterior probabilities as ensemble weights and updates them token by token using Bayes' rule du...",high,"knowledge-based visual question answering tasks, Document Visual Question Answering, multimodal needle-in-a-haystack benchmarks","Condition language models on individual retrieved documents rather than a combined context, using document posterior probabilities as ensemble weights updated token by token using Bayes' rule during generation.",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Can QPP Choose the Right Query Variant? Evaluating Query Variant Selection for RAG Pipelines,Evaluating pre- and post-retrieval QPP predictors under correlation- and decision-based metrics across TREC-RAG with sparse and dense retrievers,medium,TREC-RAG,Using Query Performance Prediction (QPP) as a mechanism for variant selection in both ad-hoc retrieval and end-to-end RAG pipelines,Unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
LARA: Validation-Driven Agentic Supercomputer Workflows for Atomistic Modeling,"Validation-driven agentic framework with three components: (i) controlled execution layer for mediating HPC resource interactions, (ii) simulation-native validation through dry-run capabilities, and (iii) multi-phase...",medium,"Atomistic modeling on HPC systems, specifically applied to Density Functional Theory simulations","LARA-HPC, a validation-driven agentic framework to enable reliable workflow generation for atomistic modeling on HPC systems through three key components: controlled execution layer, simulation-native validation, and...",Not explicitly mentioned,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
STEM: Structure-Tracing Evidence Mining for Knowledge Graphs-Driven Retrieval-Augmented Generation,"Semantic-to-Structural Projection pipeline to decompose queries into atomic relational assertions and construct an adaptive query schema graph, along with Triple-Dependent GNN (Triple-GNN) to generate a Global Guidanc...",medium,multiple multi-hop benchmarks,"Structure-Tracing Evidence Mining (STEM), a novel framework that reframes multi-hop reasoning as a schema-guided graph search task",unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Knowledge Graph and Structured Knowledge RAG
Bridging the Long-Tail Gap: Robust Retrieval-Augmented Relation Completion via Multi-Stage Paraphrase Infusion,"RC-RAG, a novel multi-stage paraphrase-guided framework that: (a) integrates paraphrases into retrieval, (b) uses paraphrases to generate relation-aware summaries, and (c) leverages paraphrases during generation to gu...",high,Two benchmark datasets,A multi-stage paraphrase-guided relation-completion framework (RC-RAG) that systematically incorporates relation paraphrases across multiple stages to expand lexical coverage and guide reasoning.,Unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
RAG-Reflect: Agentic Retrieval-Augmented Generation with Reflections for Comment-Driven Code Maintenance on Stack Overflow,"RAG-Reflect, a modular framework with a three-stage runtime workflow built on a one-time pattern analysis phase, including an Interpretation module for generating validation rules and retrieval, reasoning, and reflect...",high,SOUP benchmark,Using agentic AI principles with retrieval-augmented reasoning and self-reflection to determine if a user comment directly triggered a subsequent code edit without task-specific training.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Evaluating LLM-Based Goal Extraction in Requirements Engineering: Prompting Strategies and Their Limitations,"chain of LLMs with engineered prompts, in-context learning variants, and generation-critic mechanism as a feedback loop",medium,software documentation,using a chain of LLMs with engineered prompts for actor identification and high and low-level goal extraction,the approach is best suited as a tool to accelerate manual extraction rather than as a full replacement; primary performance ceiling may be the prompting strategy applied to the 'critic' LLM,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Domain-Specific RAG Applications
An End-to-End Ukrainian RAG for Local Deployment. Optimized Hybrid Search and Lightweight Generation,"A two-stage search pipeline that retrieves relevant document pages, paired with a specialized Ukrainian language model fine-tuned on synthetic data, and model compression for lightweight deployment.",medium,"Ukrainian document question answering, UNLP 2026 Shared Task","A custom two-stage search pipeline combined with a specialized Ukrainian language model fine-tuned on synthetic data, compressed for lightweight deployment.",Not explicitly mentioned in the abstract,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)",Domain-Specific RAG Applications
Lightweight Retrieval-Augmented Generation and Large Language Model-Based Modeling for Scalable Patient-Trial Matching,"A framework with two components: retrieval-augmented generation for identifying relevant EHR segments, and LLM encoding of these segments followed by dimensionality reduction and lightweight predictors for efficient c...",high,"Public benchmarks (n2c2, SIGIR, TREC 2021/2022) and a real-world multimodal dataset from Mayo Clinic (MCPMD)",A lightweight framework that combines retrieval-augmented generation and LLM-based modeling to separate the identification of relevant EHR segments from their representation and classification,Not specified,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
"Coverage, Not Averages: Semantic Stratification for Trustworthy Retrieval Evaluation",Organizing documents into entity-based clusters and systematically generating queries for missing strata to provide semantic coverage guarantees,medium,multiple benchmarks and retrieval methods,Formalizing retrieval evaluation as a statistical estimation problem and introducing semantic stratification to ground evaluation in corpus structure,not specified,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
ORPHEAS: A Cross-Lingual Greek-English Embedding Model for Retrieval-Augmented Generation,Training with a knowledge graph-based fine-tuning methodology applied to a diverse multi-domain corpus to enable language-agnostic semantic representations,high,diverse multi-domain corpus,"ORPHEAS, a specialized Greek-English embedding model for bilingual retrieval-augmented generation",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
"Self-Aware Vector Embeddings for Retrieval-Augmented Generation: A Neuroscience-Inspired Framework for Temporal, Confidence-Weighted, and Relational Knowledge","A retrieval pipeline using a four-signal score (semantic relevance, temporal validity, live confidence, and graph-relational importance) and a background consolidation agent that detects contradictions, builds depende...",medium,A reproducible synthetic versioned-policy benchmark of 258 vectors and 138 queries.,"SmartVector framework that augments dense embeddings with temporal awareness, confidence decay, and relational awareness using a hippocampal-neocortical memory consolidation-inspired lifecycle.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Knowledge Capsules: Structured Nonparametric Memory Units for LLMs,"External Key Value Injection (KVI) framework that compiles capsules into attention-compatible key value representations, enabling external knowledge to directly participate in the model's attention computation.",medium,multiple QA benchmarks,"Knowledge Capsules, structured nonparametric memory units that represent normalized relational knowledge, constructed directly from document corpora using a frozen base model.",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
Adaptive Defense Orchestration for RAG: A Sentinel-Strategist Architecture against Multi-Vector Attacks,A context-aware framework with Sentinel detecting anomalous retrieval behavior and Strategist selectively deploying defenses based on query context.,medium,three benchmark datasets and five orchestration models,"The Sentinel-Strategist architecture, a context-aware framework for risk analysis and defense selection that detects anomalous retrieval behavior and selectively deploys defenses based on query context.",robustness remains sensitive to model choice,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
HaS: Accelerating RAG through Homology-Aware Speculative Retrieval,"HaS, a homology-aware speculative retrieval framework that performs speculative retrieval over restricted scopes and validates candidate documents through homologous query re-identification.",medium,Datasets mentioned but not named,Homology-aware speculative retrieval framework that performs low-latency retrieval over restricted scopes and validates candidate documents using homology relations between queries.,Not specified,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
All Languages Matter: Understanding and Mitigating Language Bias in Multilingual RAG,"LAURA (Language-Agnostic Utility-driven Reranker Alignment), which aligns multilingual evidence ranking with downstream generative utility.",medium,Diverse languages and generation models (explicitly mentioned but not specified),Language bias in reranking causes performance gaps by suppressing 'answer-critical' documents in non-English languages.,Unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)",Core Retrieval and Ranking Methods
A Reproducibility Study of Metacognitive Retrieval-Augmented Generation,"Reproducing MetaRAG's experimental setup, extending it with PointWise and ListWise rerankers, and comparing with SIM-RAG which uses a lightweight critic model to stop retrieval.",medium,unknown,"Metacognitive Retrieval Augmented Generation (MetaRAG) enables Large Language Models to critique and refine their reasoning, addressing the challenge of determining when to stop retrieval.","Challenges with closed-source LLM updates, missing implementation details, and unreleased prompts in the original MetaRAG implementation.",unknown,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
GenerativeMPC: VLM-RAG-guided Whole-Body MPC with Virtual Impedance for Bimanual Mobile Manipulation,"A framework using VLM-RAG to translate visual and linguistic context into control constraints (velocity limits and safety margins) for Whole-Body MPC, while also modulating virtual stiffness and damping gains for an i...",medium,"MuJoCo, IsaacSim, and a physical bimanual platform","GenerativeMPC, a hierarchical cyber-physical framework that bridges semantic scene understanding with physical control parameters using a Vision-Language Model with Retrieval-Augmented Generation (VLM-RAG).",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
KD-Judge: A Knowledge-Driven Automated Judge Framework for Functional Fitness Movements on Edge Devices,"Knowledge-driven automated judging framework (KD-Judge) with LLM-based retrieval-augmented generation and chain-of-thought rule-structuring pipeline, deterministic rule-based judging system, pose-guided kinematic reas...",medium,CFRep dataset,"Converting unstructured rulebook standards into executable, machine-readable representations using an LLM-based retrieval-augmented generation and chain-of-thought rule-structuring pipeline, with deterministic rule-ba...",unknown,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
RARE: Redundancy-Aware Retrieval Evaluation Framework for High-Similarity Corpora,RARE (Redundancy-Aware Retrieval Evaluation) framework that decomposes documents into atomic facts and uses CRRF to score criteria separately and fuse decisions by rank.,medium,"Finance, Legal, and Patent corpora; RedQA benchmark",Create a framework for constructing realistic benchmarks that account for redundancy by decomposing documents into atomic facts and enhancing LLM-based data generation with CRRF.,unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
MASS-RAG: Multi-Agent Synthesis Retrieval-Augmented Generation,"MASS-RAG, a multi-agent synthesis approach with distinct agents for evidence summarization, evidence extraction, and reasoning over retrieved documents, combining outputs through a dedicated synthesis stage.",high,four benchmarks (specific names not provided),Structuring evidence processing into multiple role-specialized agents to handle different aspects of the retrieved information.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
Beyond Explicit Refusals: Soft-Failure Attacks on Retrieval-Augmented Generation,"Deceptive Evolutionary Jamming Attack (DEJA), an automated black-box attack framework that generates adversarial documents to trigger soft failures by exploiting safety-aligned behaviors of large language models. DEJA...",high,Multiple RAG configurations and benchmark datasets,Formalizing and addressing soft failures in RAG systems - fluent and coherent yet non-informative responses that degrade utility without being overt failures.,unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
EHRAG: Bridging Semantic Gaps in Lightweight GraphRAG via Hybrid Hypergraph Construction and Retrieval,EHRAG constructs structural hyperedges based on sentence-level co-occurrence with lightweight entity extraction and semantic hyperedges by clustering entity text embeddings; performs structure-semantic hybrid diffusio...,medium,four datasets (specific names not mentioned),"EHRAG constructs a hypergraph capturing both structural and semantic relationships, and uses a hybrid structural-semantic retrieval mechanism",unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Core Retrieval and Ranking Methods
SAGE: Selective Attention-Guided Extraction for Token-Efficient Document Indexing,"SAGE uses a lightweight local LLM for a single prefilling pass to convert attention signals into relevance heatmaps, employs differential attention strategies to isolate question-relevant evidence, and selects top-sco...",high,multiple long-document QA benchmarks (not specified beyond this),"Selective Attention-Guided Extraction (SAGE) - a training-free, plug-and-play context reduction framework that uses a lightweight local LLM to create a query-specific relevance heatmap and selects top-scoring units un...",not specified,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)",Core Retrieval and Ranking Methods
DocSeeker: Structured Visual Reasoning with Evidence Grounding for Long Document Understanding,"A two-stage training framework: Supervised Fine-Tuning on high-quality data generated via knowledge distillation, followed by Evidence-aware Group Relative Policy Optimization. Also includes an Evidence-Guided Resolut...",high,unknown,"A structured Analysis, Localization and Reasoning workflow to address challenges in long document understanding.",unknown,unknown,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Core Retrieval and Ranking Methods
AITP: Traffic Accident Responsibility Allocation via Multimodal Large Language Models,AITP (Artificial Intelligence Traffic Police) - a multimodal large language model with MCoT mechanism and RAG for legal knowledge integration.,medium,"DecaTARA benchmark with 67,941 annotated videos and 195,821 question-answer pairs across ten interrelated traffic accident reasoning tasks.","Developing AITP, a multimodal large language model that enhances reasoning through a Multimodal Chain-of-Thought (MCoT) mechanism and integrates legal knowledge through Retrieval-Augmented Generation (RAG).",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Domain-Specific RAG Applications
When RAG Chatbots Expose Their Backend: An Anonymized Case Study of Privacy and Security Risks in Patient-Facing Medical AI,"Two-stage strategy: (1) Claude Opus 4.6-assisted exploratory prompt-based testing and vulnerability hypothesis generation, (2) manual verification using Chrome Developer Tools to inspect network traffic, payloads, API...",medium,Patient-facing medical RAG chatbot,Standard browser tools can identify critical privacy and security vulnerabilities in medical RAG chatbots without requiring specialist skills or authentication,Not specified,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
BlenderRAG: High-Fidelity 3D Object Generation via Retrieval-Augmented Code Synthesis,Retrieval-augmented generation system that retrieves semantically similar examples during generation.,medium,"Curated multimodal dataset of 500 expert-validated examples (text, code, image) across 50 object categories.","BlenderRAG, a retrieval-augmented generation system that operates on a curated multimodal dataset of 500 expert-validated examples across 50 object categories.",Not specified,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,"Documents are segmented into overlapping sentence-based child chunks while preserving full documents as parent units. Retrieval combines hybrid dense-sparse search, tunable weighting, and embedding-based similarity re...",medium,SemEval-2026 Task 8 (MTRAGEval),A hierarchical parent-child RAG pipeline that separates fine-grained child-level retrieval from parent-level context reconstruction during generation.,not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
Hierarchical Abstract Tree for Cross-Document Retrieval-Augmented Generation,"Hierarchical abstract tree index through iterative ""merging and collapse"" process and a multi-granular retrieval agent with reorganized queries and agent-powered hybrid retriever.",medium,cross-document multi-hop QA benchmarks,"Ψ-RAG, a tree-RAG framework with a hierarchical abstract tree index built through iterative ""merging and collapse"" process and a multi-granular retrieval agent.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
LLM-Oriented Information Retrieval: A Denoising-First Perspective,"A conceptual framework of IR challenges (from inaccessible to undiscoverable, to misaligned, and finally to unverifiable) and a pipeline-organized taxonomy of signal-to-noise optimization techniques spanning indexing,...",high,"Lifelong assistant, coding agent, deep research, and multimodal understanding domains that rely heavily on retrieval.",Denoising-maximizing usable evidence density and verifiability within a context window-is becoming the primary bottleneck across the full information access pipeline.,unknown,partly,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
CleanBase: Detecting Malicious Documents in RAG Knowledge Databases,"CleanBase constructs a similarity graph where nodes represent documents and edges connect similar documents based on embedding model similarity exceeding a statistically determined threshold, then detects cliques to f...",medium,multiple datasets and prompt injection attacks,"Malicious documents crafted for the same attack-targeted questions often exhibit high semantic similarity, forming cliques in a similarity graph constructed over the knowledge database.",unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
Agentic AI for Substance Use Education: Integrating Regulatory and Scientific Knowledge Sources,An agentic-based AI web application that combines Drug Enforcement Administration records with peer-reviewed literature in real-time using retrieval-augmented generation with a filtered corpus of 102 documents and dyn...,medium,"A filtered corpus of 102 documents, dynamic PubMed queries, and an expert evaluation study with five subject matter experts who generated 30 domain-specific questions.","Agentic AI architectures integrating authoritative regulatory sources with real-time scientific literature for scalable, accurate, and verifiable health education delivery.",Not specified in the abstract.,yes,Domain-Specific RAG Applications,领域应用型 RAG,领域应用型 RAG (Domain-Specific RAG Applications),Core Retrieval and Ranking Methods
Structure-Aware Chunking for Tabular Data in Retrieval-Augmented Generation,"STC framework that performs token-constrained splitting aligned with structural boundaries and applies overlap-free greedy merging to produce dense, non-overlapping chunks.",medium,MAUD dataset,"A structure-aware tabular chunking (STC) framework that operates on row-level units by constructing a hierarchical Row Tree representation, preserving semantic relationships while improving token utilization.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Retrieval-Augmented Reasoning for Chartered Accountancy,"A basic RAG method that automatically adds retrieved information into the prompt, depending on the model's built-in Chain-of-Thought (CoT) functions to create context and produce correct answers.",medium,CA-Ben benchmark,CA-ThinkFlow as a parameter-efficient Retrieval-Augmented Generation (RAG) framework that uses a 14B-DeepSeek-R1 reasoning model and a layout-aware Docling extraction system.,Essential reasoning abilities fail to process complex regulatory texts in fields such as Taxation.,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
FlashRT: Towards Computationally and Memory Efficient Red-Teaming for Prompt Injection and Knowledge Corruption,"FlashRT, a framework that improves computational and memory efficiency for optimization-based red-teaming attacks.",high,"Long-context LLMs including Gemini-3.1-Pro and Qwen-3.5, with contexts up to 32K tokens",Developing a framework to improve efficiency for optimization-based prompt injection and knowledge corruption attacks under long-context LLMs.,Not specified in the abstract,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),"Reliability, Safety, Privacy, and Security"
NorBERTo: A ModernBERT Model Trained for Portuguese with 331 Billion Tokens Corpus,"Training NorBERTo on Aurora-PT, a newly curated Brazilian Portuguese corpus comprising 331 billion GPT-2 tokens collected from diverse web sources and existing multilingual datasets.",high,"Aurora-PT corpus, ASSIN 2, PLUE datasets","Introducing NorBERTo, a modern encoder based on the ModernBERT architecture, featuring long-context support and efficient attention mechanisms.",Not explicitly mentioned,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),General or Unspecified RAG
"NeocorRAG: Less Irrelevant Information, More Explicit Evidence, and More Effective Recall via Evidence Chains","NeocorRAG framework which uses an activated search algorithm for refined candidate space, constrained decoding for precise evidence chain generation, and evidence chains to guide retrieval optimization.",high,"HotpotQA, 2WikiMultiHopQA, MuSiQue, and NQ",Evidence Chains for holistic retrieval quality optimization while maintaining high recall.,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Iterative Multimodal Retrieval-Augmented Generation for Medical Question Answering,"Pairs ColQwen2.5 patch-level page embeddings with a sharded MapReduce LLM filter, scaling to ~350K pages while keeping Stage-1 retrieval under 30 ms via an offline coarse-to-fine index (C=8 centroids per page, ANN ove...",medium,"PMC document pages, four medical QA benchmarks (MedQA, MedMCQA, PubMedQA, MMLU-Med)","MED-VRAG, an iterative multimodal RAG framework that retrieves and reasons over PMC document page images instead of OCR'd text.",Unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
"Contextual Agentic Memory is a Memo, Not True Memory","Drawing on Complementary Learning Systems theory from neuroscience, showing that biological intelligence solved this problem by pairing fast hippocampal exemplar storage with slow neocortical weight consolidation, whi...",low,unknown,"Treating lookup as memory is a category error with consequences for generalization, expertise development, and vulnerability to memory poisoning.","Current agents accumulate notes indefinitely without developing expertise, face a provable generalization ceiling on compositionally novel tasks, and are structurally vulnerable to persistent memory poisoning.",unknown,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
Purifying Multimodal Retrieval: Fragment-Level Evidence Selection for RAG,"FES-RAG framework that decomposes retrieved multimodal documents into sentence-level textual fragments and region-level visual fragments, using Fragment Information Gain (FIG) metric to guide fragment selection and di...",medium,M2RAG benchmark,Reframe MRAG as a fine-grained evidence selection problem by selecting atomic multimodal fragments rather than entire documents as grounding evidence.,unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
ChipLingo: A Systematic Training Framework for Large Language Models in EDA,"A three-stage training pipeline: domain corpus construction with multi-source data curation and QA augmentation, domain-adaptive pretraining with comparisons of different parameter training strategies, and instruction...",high,"EDA-Bench, an internal benchmark covering representative EDA tool scenarios.","ChipLingo, a systematic training pipeline for domain-adapted LLMs tailored to EDA scenarios.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
NuggetIndex: Governed Atomic Retrieval for Maintainable RAG,"NuggetIndex, a retrieval system that manages atomic information units as records with evidence links, temporal validity intervals, and lifecycle states",medium,"nuggetized MS MARCO subset, temporal Wikipedia QA dataset, multi-hop QA task","Store atomic information units as managed records (nuggets) with links to evidence, temporal validity intervals, and lifecycle states, filtering invalid or deprecated nuggets prior to ranking",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Enhancing Linux Privilege Escalation Attack Capabilities of Local LLM Agents,"Systematic empirical study analyzing failure modes of open-weight models in autonomous privilege escalation, mapping them to enhancement techniques, and evaluating five concrete interventions (chain-of-thought prompti...",medium,Linux privilege escalation vulnerabilities,Targeted system-level and prompting interventions can bridge the performance gap between local open-weight models and cloud-based restricted-weight models for autonomous privilege escalation,Vulnerability discovery remains a bottleneck for local models,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
"Think it, Run it: Autonomous ML pipeline generation via self-healing multi-agent AI","A five-agent system with code-grounded RAG for microservice understanding, an explainable hybrid recommender, a self-healing mechanism using LLM-based error interpretation, and adaptive learning from execution history.",high,150 ML tasks across diverse scenarios,"A unified multi-agent architecture that handles profiling, intent parsing, microservice recommendation, DAG construction and execution.",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
Decoupling Knowledge and Task Subspaces for Composable Parametric Retrieval Augmented Generation,"Train a Task LoRA to capture reusable task behavior, then train document LoRAs to encode document-specific knowledge in a orthogonal subspace to improve compositional robustness in parametric RAG.",high,multiple knowledge-intensive tasks and model scales,Orthogonal Subspace Decomposition (OSD) separates reusable task behavior from document-specific knowledge adapters by first training a Task LoRA and then training document LoRAs to encode document-specific knowledge i...,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
When to Retrieve During Reasoning: Adaptive Retrieval for Large Reasoning Models,"ReaLM-Retrieve, a framework with three innovations: (1) step-level uncertainty detector, (2) retrieval intervention policy, and (3) efficiency-optimized integration mechanism that reduces per-retrieval overhead by 3.2x.",medium,"MuSiQue, HotpotQA, and 2WikiMultiHopQA","A reasoning-aware retrieval framework (ReaLM-Retrieve) that matches retrieval to reasoning through step-level uncertainty detection, retrieval intervention policy, and efficiency-optimized integration.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
PRAG: End-to-End Privacy-Preserving Retrieval-Augmented Generation,"PRAG features a dual-mode architecture: PRAG-I utilizes homomorphic-friendly approximations for low-latency retrieval, while PRAG-II leverages client assistance to match accuracy of non-private RAG. Also includes Oper...",medium,large-scale datasets (not specified which ones),"PRAG, an end-to-end privacy-preserving RAG system that achieves confidentiality for both documents and queries without sacrificing scalability.",not specified,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
Efficient Listwise Reranking with Compressed Document Representations,Combining rich compressed representations with listwise reranking via distillation training,high,long-document benchmarks,"Introducing RRK, an efficient and effective listwise reranker that compresses documents into multi-token fixed-size embedding representations",unknown,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)",Core Retrieval and Ranking Methods
CacheRAG: A Semantic Caching System for Retrieval-Augmented Generation in Knowledge Graph Question Answering,"CacheRAG, a systematic cache-augmented architecture with three design principles: (1) Schema-agnostic user interface via ISR, (2) Diversity-optimized cache retrieval with hierarchical index and MMR, (3) Bounded heuris...",medium,"CRAG dataset, multiple benchmarks",Transform stateless planners into continual learners through a cache-augmented architecture.,not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
RAG-Enhanced Kernel-Based Heuristic Synthesis (RKHS): A Structured Methodology Using Large Language Models for Hardware Design,"RAG-Enhanced Kernel-Based Heuristic Synthesis (RKHS), which integrates retrieval-augmented generation (RAG), compact kernel heuristic templates, and an LLM-driven refinement loop inspired by iterative self-feedback.",high,"High-level synthesis (HLS) for latency-minimizing list scheduling, with generalization to other EDA optimization problems.",Using large language models (LLMs) to systematically synthesize reusable optimization heuristics through a structured methodology.,unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Domain-Specific RAG Applications
